,DataOwnerCode,OperatingDay,LinePlanningNumber,JourneyNumber,ReinforcementNumber,TimingLinkOrder,UserStopCodeBegin,UserStopCodeEnd,Occupancy,VehicleType,TotalNumberOfCoaches,Seats,Occupied Seats
0,QBUZZ,2024-10-09,0,7112,0,1,Gr,Ddr,1,GTW,2,90,0
1,QBUZZ,2024-10-09,0,7114,0,1,Gr,Ddr,1,GTW,5,225,0
2,QBUZZ,2024-10-09,0,7116,0,1,Gr,Ddr,1,GTW,5,225,0
3,QBUZZ,2024-10-09,0,7117,0,1,Ddr,Gr,1,GTW,2,90,0
4,QBUZZ,2024-10-09,0,7118,0,1,Gr,Ddr,1,GTW,5,225,0
5,QBUZZ,2024-10-09,0,7119,0,1,Ddr,Gr,1,GTW,4,180,0
6,QBUZZ,2024-10-09,0,7120,0,1,Gr,Ddr,1,GTW,5,225,0
7,QBUZZ,2024-10-09,0,7121,0,1,Ddr,Gr,1,GTW,5,225,0
8,QBUZZ,2024-10-09,0,7122,0,1,Gr,Ddr,1,GTW,2,90,0
9,QBUZZ,2024-10-09,0,7123,0,1,Ddr,Gr,1,GTW,5,225,0
10,QBUZZ,2024-10-09,0,7124,0,1,Gr,Ddr,1,GTW,2,90,0
11,QBUZZ,2024-10-09,0,7125,0,1,Ddr,Gr,1,GTW,5,225,0
12,QBUZZ,2024-10-09,0,7126,0,1,Gr,Ddr,1,GTW,2,90,0
13,QBUZZ,2024-10-09,0,7127,0,1,Ddr,Gr,1,GTW,2,90,0
14,QBUZZ,2024-10-09,0,7128,0,1,Gr,Ddr,1,GTW,2,90,0
15,QBUZZ,2024-10-09,0,7129,0,1,Ddr,Gr,1,GTW,2,90,0
16,QBUZZ,2024-10-09,0,7130,0,1,Gr,Ddr,1,GTW,2,90,0
17,QBUZZ,2024-10-09,0,7131,0,1,Ddr,Gr,1,GTW,2,90,0
18,QBUZZ,2024-10-09,0,7132,0,1,Gr,Ddr,1,GTW,2,90,0
19,QBUZZ,2024-10-09,0,7133,0,1,Ddr,Gr,1,GTW,2,90,0
20,QBUZZ,2024-10-09,0,7134,0,1,Gr,Ddr,1,GTW,2,90,0
21,QBUZZ,2024-10-09,0,7135,0,1,Ddr,Gr,1,GTW,2,90,0
22,QBUZZ,2024-10-09,0,7136,0,1,Gr,Ddr,1,GTW,2,90,0
23,QBUZZ,2024-10-09,0,7137,0,1,Ddr,Gr,1,GTW,2,90,0
24,QBUZZ,2024-10-09,0,7138,0,1,Gr,Ddr,1,GTW,2,90,0
25,QBUZZ,2024-10-09,0,7139,0,1,Ddr,Gr,1,GTW,2,90,0
26,QBUZZ,2024-10-09,0,7140,0,1,Gr,Ddr,1,GTW,2,90,0
27,QBUZZ,2024-10-09,0,7141,0,1,Ddr,Gr,1,GTW,2,90,0
28,QBUZZ,2024-10-09,0,7142,0,1,Gr,Ddr,1,GTW,2,90,0
29,QBUZZ,2024-10-09,0,7143,0,1,Ddr,Gr,1,GTW,2,90,0
30,QBUZZ,2024-10-09,0,7144,0,1,Gr,Ddr,1,GTW,2,90,0
31,QBUZZ,2024-10-09,0,7145,0,1,Ddr,Gr,1,GTW,2,90,0
32,QBUZZ,2024-10-09,0,7146,0,1,Gr,Ddr,1,GTW,2,90,0
33,QBUZZ,2024-10-09,0,7147,0,1,Ddr,Gr,1,GTW,2,90,0
34,QBUZZ,2024-10-09,0,7148,0,1,Gr,Ddr,1,GTW,2,90,0
35,QBUZZ,2024-10-09,0,7149,0,1,Ddr,Gr,1,GTW,2,90,0
36,QBUZZ,2024-10-09,0,7150,0,1,Gr,Ddr,1,GTW,2,90,0
37,QBUZZ,2024-10-09,0,7151,0,1,Ddr,Gr,1,GTW,2,90,0
38,QBUZZ,2024-10-09,0,7152,0,1,Gr,Ddr,1,GTW,2,90,0
39,QBUZZ,2024-10-09,0,7153,0,1,Ddr,Gr,1,GTW,2,90,0
40,QBUZZ,2024-10-09,0,7154,0,1,Gr,Ddr,1,GTW,5,225,0
41,QBUZZ,2024-10-09,0,7155,0,1,Ddr,Gr,1,GTW,2,90,0
42,QBUZZ,2024-10-09,0,7156,0,1,Gr,Ddr,1,GTW,2,90,0
43,QBUZZ,2024-10-09,0,7157,0,1,Ddr,Gr,1,GTW,2,90,0
44,QBUZZ,2024-10-09,0,7158,0,1,Gr,Ddr,1,GTW,5,225,0
45,QBUZZ,2024-10-09,0,7159,0,1,Ddr,Gr,1,GTW,5,225,0
46,QBUZZ,2024-10-09,0,7160,0,1,Gr,Ddr,1,GTW,2,90,0
47,QBUZZ,2024-10-09,0,7161,0,1,Ddr,Gr,1,GTW,2,90,0
48,QBUZZ,2024-10-09,0,7162,0,1,Gr,Ddr,1,GTW,5,225,0
49,QBUZZ,2024-10-09,0,7163,0,1,Ddr,Gr,1,GTW,5,225,0
50,QBUZZ,2024-10-09,0,7164,0,1,Gr,Ddr,1,GTW,2,90,0
51,QBUZZ,2024-10-09,0,7165,0,1,Ddr,Gr,1,GTW,2,90,0
52,QBUZZ,2024-10-09,0,7167,0,1,Ddr,Gr,1,GTW,5,225,0
53,QBUZZ,2024-10-09,0,7169,0,1,Ddr,Gr,1,GTW,2,90,0
54,QBUZZ,2024-10-09,0,7176,0,1,Gr,Ddr,1,GTW,3,135,0
55,QBUZZ,2024-10-09,0,7177,0,1,Ddr,Gr,1,GTW,2,90,0
56,QBUZZ,2024-10-09,0,7180,0,1,Gr,Ddr,1,GTW,3,135,0
57,QBUZZ,2024-10-09,0,7181,0,1,Ddr,Gr,1,GTW,3,135,0
58,QBUZZ,2024-10-09,0,7184,0,1,Gr,Ddr,1,GTW,3,135,0
59,QBUZZ,2024-10-09,0,7185,0,1,Ddr,Gr,1,GTW,3,135,0
60,QBUZZ,2024-10-09,0,7188,0,1,Gr,Ddr,1,GTW,8,360,0
61,QBUZZ,2024-10-09,0,7189,0,1,Ddr,Gr,1,GTW,3,135,0
62,QBUZZ,2024-10-09,0,7193,0,1,Ddr,Gr,1,GTW,3,135,0
63,QBUZZ,2024-10-09,0,7210,0,1,Gr,Ddr,1,GTW,3,135,0
64,QBUZZ,2024-10-09,0,7212,0,1,Gr,Ddr,1,GTW,3,135,0
65,QBUZZ,2024-10-09,0,7214,0,1,Gdm,Ddr,1,GTW,3,135,0
66,QBUZZ,2024-10-09,0,7215,0,1,Ddr,Gdm,1,GTW,6,270,0
67,QBUZZ,2024-10-09,0,7216,0,1,Gdm,Ddr,1,GTW,3,135,0
68,QBUZZ,2024-10-09,0,7217,0,1,Ddr,Gdm,1,GTW,3,135,0
69,QBUZZ,2024-10-09,0,7218,0,1,Gdm,Ddr,1,GTW,6,270,0
70,QBUZZ,2024-10-09,0,7219,0,1,Ddr,Gdm,1,GTW,6,270,0
71,QBUZZ,2024-10-09,0,7220,0,1,Gdm,Ddr,1,GTW,3,135,0
72,QBUZZ,2024-10-09,0,7221,0,1,Ddr,Gdm,1,GTW,3,135,0
73,QBUZZ,2024-10-09,0,7222,0,1,Gdm,Ddr,1,GTW,3,135,0
74,QBUZZ,2024-10-09,0,7223,0,1,Ddr,Gdm,1,GTW,3,135,0
75,QBUZZ,2024-10-09,0,7224,0,1,Gdm,Ddr,1,GTW,3,135,0
76,QBUZZ,2024-10-09,0,7225,0,1,Ddr,Gdm,1,GTW,3,135,0
77,QBUZZ,2024-10-09,0,7226,0,1,Gdm,Ddr,1,GTW,3,135,0
78,QBUZZ,2024-10-09,0,7227,0,1,Ddr,Gdm,1,GTW,3,135,0
79,QBUZZ,2024-10-09,0,7228,0,1,Gdm,Ddr,1,GTW,3,135,0
80,QBUZZ,2024-10-09,0,7229,0,1,Ddr,Gdm,1,GTW,3,135,0
81,QBUZZ,2024-10-09,0,7230,0,1,Gdm,Ddr,1,GTW,3,135,0
82,QBUZZ,2024-10-09,0,7231,0,1,Ddr,Gdm,1,GTW,3,135,0
83,QBUZZ,2024-10-09,0,7232,0,1,Gdm,Ddr,1,GTW,3,135,0
84,QBUZZ,2024-10-09,0,7233,0,1,Ddr,Gdm,1,GTW,3,135,0
85,QBUZZ,2024-10-09,0,7234,0,1,Gdm,Ddr,1,GTW,3,135,0
86,QBUZZ,2024-10-09,0,7235,0,1,Ddr,Gdm,1,GTW,3,135,0
87,QBUZZ,2024-10-09,0,7236,0,1,Gdm,Ddr,1,GTW,3,135,0
88,QBUZZ,2024-10-09,0,7237,0,1,Ddr,Gdm,1,GTW,3,135,0
89,QBUZZ,2024-10-09,0,7238,0,1,Gdm,Ddr,1,GTW,3,135,0
90,QBUZZ,2024-10-09,0,7239,0,1,Ddr,Gdm,1,GTW,3,135,0
91,QBUZZ,2024-10-09,0,7240,0,1,Gdm,Ddr,1,GTW,3,135,0
92,QBUZZ,2024-10-09,0,7241,0,1,Ddr,Gdm,1,GTW,3,135,0
93,QBUZZ,2024-10-09,0,7242,0,1,Gdm,Ddr,1,GTW,3,135,0
94,QBUZZ,2024-10-09,0,7243,0,1,Ddr,Gdm,1,GTW,3,135,0
95,QBUZZ,2024-10-09,0,7244,0,1,Gdm,Ddr,1,GTW,3,135,0
96,QBUZZ,2024-10-09,0,7245,0,1,Ddr,Gdm,1,GTW,3,135,0
97,QBUZZ,2024-10-09,0,7246,0,1,Gdm,Ddr,1,GTW,3,135,0
98,QBUZZ,2024-10-09,0,7247,0,1,Ddr,Gdm,1,GTW,3,135,0
99,QBUZZ,2024-10-09,0,7248,0,1,Gdm,Ddr,1,GTW,3,135,0
100,QBUZZ,2024-10-09,0,7249,0,1,Ddr,Gdm,1,GTW,3,135,0
101,QBUZZ,2024-10-09,0,7250,0,1,Gdm,Ddr,1,GTW,3,135,0
102,QBUZZ,2024-10-09,0,7251,0,1,Ddr,Gdm,1,GTW,3,135,0
103,QBUZZ,2024-10-09,0,7252,0,1,Gdm,Ddr,1,GTW,3,135,0
104,QBUZZ,2024-10-09,0,7253,0,1,Ddr,Gdm,1,GTW,3,135,0
105,QBUZZ,2024-10-09,0,7254,0,1,Gdm,Ddr,1,GTW,3,135,0
106,QBUZZ,2024-10-09,0,7255,0,1,Ddr,Gdm,1,GTW,3,135,0
107,QBUZZ,2024-10-09,0,7256,0,1,Gdm,Ddr,1,GTW,3,135,0
108,QBUZZ,2024-10-09,0,7257,0,1,Ddr,Gdm,1,GTW,3,135,0
109,QBUZZ,2024-10-09,0,7258,0,1,Gdm,Ddr,1,GTW,3,135,0
110,QBUZZ,2024-10-09,0,7259,0,1,Ddr,Gdm,1,GTW,3,135,0
111,QBUZZ,2024-10-09,0,7260,0,1,Gdm,Ddr,1,GTW,3,135,0
112,QBUZZ,2024-10-09,0,7261,0,1,Ddr,Gdm,1,GTW,3,135,0
113,QBUZZ,2024-10-09,0,7262,0,1,Gdm,Ddr,1,GTW,3,135,0
114,QBUZZ,2024-10-09,0,7263,0,1,Ddr,Gdm,1,GTW,3,135,0
115,QBUZZ,2024-10-09,0,7264,0,1,Gdm,Ddr,1,GTW,6,270,0
116,QBUZZ,2024-10-09,0,7265,0,1,Ddr,Gdm,1,GTW,6,270,0
117,QBUZZ,2024-10-09,0,7266,0,1,Gdm,Ddr,1,GTW,3,135,0
118,QBUZZ,2024-10-09,0,7267,0,1,Ddr,Gdm,1,GTW,3,135,0
119,QBUZZ,2024-10-09,0,7268,0,1,Gdm,Ddr,1,GTW,3,135,0
120,QBUZZ,2024-10-09,0,7269,0,1,Ddr,Gdm,1,GTW,3,135,0
121,QBUZZ,2024-10-09,0,7270,0,1,Gdm,Ddr,1,GTW,3,135,0
122,QBUZZ,2024-10-09,0,7271,0,1,Ddr,Gdm,1,GTW,3,135,0
123,QBUZZ,2024-10-09,0,7272,0,1,Gr,Ddr,1,GTW,3,135,0
124,QBUZZ,2024-10-09,0,7273,0,1,Ddr,Gdm,1,GTW,3,135,0
125,QBUZZ,2024-10-09,0,7274,0,1,Gdm,Ddr,1,GTW,3,135,0
126,QBUZZ,2024-10-09,0,7275,0,1,Ddr,Gdm,1,GTW,3,135,0
127,QBUZZ,2024-10-09,0,7278,0,1,Gdm,Ddr,1,GTW,3,135,0
128,QBUZZ,2024-10-09,0,7279,0,1,Ddr,Gdm,1,GTW,3,135,0
129,QBUZZ,2024-10-09,0,7282,0,1,Gdm,Ddr,1,GTW,3,135,0
130,QBUZZ,2024-10-09,0,7283,0,1,Ddr,Gdm,1,GTW,3,135,0
131,QBUZZ,2024-10-09,0,7286,0,1,Gdm,Ddr,1,GTW,3,135,0
132,QBUZZ,2024-10-09,0,7287,0,1,Ddr,Gdm,1,GTW,3,135,0
133,QBUZZ,2024-10-09,0,7290,0,1,Gdm,Ddr,1,GTW,3,135,0
134,QBUZZ,2024-10-09,0,7291,0,1,Ddr,Gdm,1,GTW,3,135,0
135,QBUZZ,2024-10-10,0,7112,0,1,Gr,Ddr,1,GTW,2,90,0
136,QBUZZ,2024-10-10,0,7114,0,1,Gr,Ddr,1,GTW,5,225,0
137,QBUZZ,2024-10-10,0,7116,0,1,Gr,Ddr,1,GTW,5,225,0
138,QBUZZ,2024-10-10,0,7117,0,1,Ddr,Gr,1,GTW,2,90,0
139,QBUZZ,2024-10-10,0,7118,0,1,Gr,Ddr,1,GTW,5,225,0
140,QBUZZ,2024-10-10,0,7119,0,1,Ddr,Gr,1,GTW,4,180,0
141,QBUZZ,2024-10-10,0,7120,0,1,Gr,Ddr,1,GTW,5,225,0
142,QBUZZ,2024-10-10,0,7121,0,1,Ddr,Gr,1,GTW,5,225,0
143,QBUZZ,2024-10-10,0,7122,0,1,Gr,Ddr,1,GTW,2,90,0
144,QBUZZ,2024-10-10,0,7123,0,1,Ddr,Gr,1,GTW,5,225,0
145,QBUZZ,2024-10-10,0,7124,0,1,Gr,Ddr,1,GTW,2,90,0
146,QBUZZ,2024-10-10,0,7125,0,1,Ddr,Gr,1,GTW,5,225,0
147,QBUZZ,2024-10-10,0,7126,0,1,Gr,Ddr,1,GTW,2,90,0
148,QBUZZ,2024-10-10,0,7127,0,1,Ddr,Gr,1,GTW,2,90,0
149,QBUZZ,2024-10-10,0,7128,0,1,Gr,Ddr,1,GTW,2,90,0
150,QBUZZ,2024-10-10,0,7129,0,1,Ddr,Gr,1,GTW,2,90,0
151,QBUZZ,2024-10-10,0,7130,0,1,Gr,Ddr,1,GTW,2,90,0
152,QBUZZ,2024-10-10,0,7131,0,1,Ddr,Gr,1,GTW,2,90,0
153,QBUZZ,2024-10-10,0,7132,0,1,Gr,Ddr,1,GTW,2,90,0
154,QBUZZ,2024-10-10,0,7133,0,1,Ddr,Gr,1,GTW,2,90,0
155,QBUZZ,2024-10-10,0,7134,0,1,Gr,Ddr,1,GTW,2,90,0
156,QBUZZ,2024-10-10,0,7135,0,1,Ddr,Gr,1,GTW,2,90,0
157,QBUZZ,2024-10-10,0,7136,0,1,Gr,Ddr,1,GTW,2,90,0
158,QBUZZ,2024-10-10,0,7137,0,1,Ddr,Gr,1,GTW,2,90,0
159,QBUZZ,2024-10-10,0,7138,0,1,Gr,Ddr,1,GTW,2,90,0
160,QBUZZ,2024-10-10,0,7139,0,1,Ddr,Gr,1,GTW,2,90,0
161,QBUZZ,2024-10-10,0,7140,0,1,Gr,Ddr,1,GTW,2,90,0
162,QBUZZ,2024-10-10,0,7141,0,1,Ddr,Gr,1,GTW,2,90,0
163,QBUZZ,2024-10-10,0,7142,0,1,Gr,Ddr,1,GTW,2,90,0
164,QBUZZ,2024-10-10,0,7143,0,1,Ddr,Gr,1,GTW,2,90,0
165,QBUZZ,2024-10-10,0,7144,0,1,Gr,Ddr,1,GTW,2,90,0
166,QBUZZ,2024-10-10,0,7145,0,1,Ddr,Gr,1,GTW,2,90,0
167,QBUZZ,2024-10-10,0,7146,0,1,Gr,Ddr,1,GTW,2,90,0
168,QBUZZ,2024-10-10,0,7147,0,1,Ddr,Gr,1,GTW,2,90,0
169,QBUZZ,2024-10-10,0,7148,0,1,Gr,Ddr,1,GTW,2,90,0
170,QBUZZ,2024-10-10,0,7149,0,1,Ddr,Gr,1,GTW,2,90,0
171,QBUZZ,2024-10-10,0,7150,0,1,Gr,Ddr,1,GTW,2,90,0
172,QBUZZ,2024-10-10,0,7151,0,1,Ddr,Gr,1,GTW,2,90,0
173,QBUZZ,2024-10-10,0,7152,0,1,Gr,Ddr,1,GTW,2,90,0
174,QBUZZ,2024-10-10,0,7153,0,1,Ddr,Gr,1,GTW,2,90,0
175,QBUZZ,2024-10-10,0,7154,0,1,Gr,Ddr,1,GTW,5,225,0
176,QBUZZ,2024-10-10,0,7155,0,1,Ddr,Gr,1,GTW,2,90,0
177,QBUZZ,2024-10-10,0,7156,0,1,Gr,Ddr,1,GTW,2,90,0
178,QBUZZ,2024-10-10,0,7157,0,1,Ddr,Gr,1,GTW,2,90,0
179,QBUZZ,2024-10-10,0,7158,0,1,Gr,Ddr,1,GTW,5,225,0
180,QBUZZ,2024-10-10,0,7159,0,1,Ddr,Gr,1,GTW,5,225,0
181,QBUZZ,2024-10-10,0,7160,0,1,Gr,Ddr,1,GTW,2,90,0
182,QBUZZ,2024-10-10,0,7161,0,1,Ddr,Gr,1,GTW,2,90,0
183,QBUZZ,2024-10-10,0,7162,0,1,Gr,Ddr,1,GTW,5,225,0
184,QBUZZ,2024-10-10,0,7163,0,1,Ddr,Gr,1,GTW,5,225,0
185,QBUZZ,2024-10-10,0,7164,0,1,Gr,Ddr,1,GTW,2,90,0
186,QBUZZ,2024-10-10,0,7165,0,1,Ddr,Gr,1,GTW,2,90,0
187,QBUZZ,2024-10-10,0,7167,0,1,Ddr,Gr,1,GTW,5,225,0
188,QBUZZ,2024-10-10,0,7169,0,1,Ddr,Gr,1,GTW,2,90,0
189,QBUZZ,2024-10-10,0,7176,0,1,Gr,Ddr,1,GTW,3,135,0
190,QBUZZ,2024-10-10,0,7177,0,1,Ddr,Gr,1,GTW,2,90,0
191,QBUZZ,2024-10-10,0,7180,0,1,Gr,Ddr,1,GTW,3,135,0
192,QBUZZ,2024-10-10,0,7181,0,1,Ddr,Gr,1,GTW,3,135,0
193,QBUZZ,2024-10-10,0,7184,0,1,Gr,Ddr,1,GTW,3,135,0
194,QBUZZ,2024-10-10,0,7185,0,1,Ddr,Gr,1,GTW,3,135,0
195,QBUZZ,2024-10-10,0,7188,0,1,Gr,Ddr,1,GTW,8,360,0
196,QBUZZ,2024-10-10,0,7189,0,1,Ddr,Gr,1,GTW,3,135,0
197,QBUZZ,2024-10-10,0,7193,0,1,Ddr,Gr,1,GTW,3,135,0
198,QBUZZ,2024-10-10,0,7210,0,1,Gr,Ddr,1,GTW,3,135,0
199,QBUZZ,2024-10-10,0,7212,0,1,Gr,Ddr,1,GTW,3,135,0
200,QBUZZ,2024-10-10,0,7214,0,1,Gdm,Ddr,1,GTW,3,135,0
201,QBUZZ,2024-10-10,0,7215,0,1,Ddr,Gdm,1,GTW,6,270,0
202,QBUZZ,2024-10-10,0,7216,0,1,Gdm,Ddr,1,GTW,3,135,0
203,QBUZZ,2024-10-10,0,7217,0,1,Ddr,Gdm,1,GTW,3,135,0
204,QBUZZ,2024-10-10,0,7218,0,1,Gdm,Ddr,1,GTW,6,270,0
205,QBUZZ,2024-10-10,0,7219,0,1,Ddr,Gdm,1,GTW,6,270,0
206,QBUZZ,2024-10-10,0,7220,0,1,Gdm,Ddr,1,GTW,3,135,0
207,QBUZZ,2024-10-10,0,7221,0,1,Ddr,Gdm,1,GTW,3,135,0
208,QBUZZ,2024-10-10,0,7222,0,1,Gdm,Ddr,1,GTW,3,135,0
209,QBUZZ,2024-10-10,0,7223,0,1,Ddr,Gdm,1,GTW,3,135,0
210,QBUZZ,2024-10-10,0,7224,0,1,Gdm,Ddr,1,GTW,3,135,0
211,QBUZZ,2024-10-10,0,7225,0,1,Ddr,Gdm,1,GTW,3,135,0
212,QBUZZ,2024-10-10,0,7226,0,1,Gdm,Ddr,1,GTW,3,135,0
213,QBUZZ,2024-10-10,0,7227,0,1,Ddr,Gdm,1,GTW,3,135,0
214,QBUZZ,2024-10-10,0,7228,0,1,Gdm,Ddr,1,GTW,3,135,0
215,QBUZZ,2024-10-10,0,7229,0,1,Ddr,Gdm,1,GTW,3,135,0
216,QBUZZ,2024-10-10,0,7230,0,1,Gdm,Ddr,1,GTW,3,135,0
